Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
771,Male,30,Divorced,1,Graduate,Self-Employed,Professional,Rent,Urban,122363,4966,739,0,7490,6513,0,31371,100,Education,12.64,Unsecured,Yes,4,9,0.62,1
772,Male,36,Married,0,High School,Employed,Freelancer,Own,Suburban,35615,2258,314,2,28895,26816,0,8961,22,Home,11.23,Secured,Yes,3,19,0.87,0
773,Male,39,Single,2,High School,Unemployed,Business,Own,Urban,136120,4370,825,1,26247,23955,0,35417,136,Personal,11.08,Secured,Yes,1,27,0.58,1
774,Male,47,Married,2,Postgraduate,Unemployed,Salaried,Other,Urban,52117,4751,752,0,17448,15378,1,20000,59,Home,13.6,Unsecured,Yes,7,13,0.04,1
775,Female,41,Divorced,2,Graduate,Self-Employed,Professional,Rent,Suburban,33298,3711,558,2,35427,9923,0,11325,32,Education,12.84,Secured,Yes,9,9,1.0,0
776,Female,38,Married,1,Graduate,Unemployed,Business,Other,Rural,146398,511,723,0,11361,25606,0,24906,203,Education,12.13,Secured,Yes,6,6,0.78,0
777,Female,40,Married,2,Graduate,Unemployed,Professional,Own,Suburban,118918,2201,824,2,1331,10673,1,20587,152,Home,12.02,Secured,Yes,5,29,0.34,1
778,Female,69,Married,3,Postgraduate,Self-Employed,Freelancer,Own,Suburban,64891,3116,429,2,437,20044,1,13697,169,Home,9.91,Unsecured,Yes,8,29,0.86,0
779,Female,45,Single,3,Postgraduate,Self-Employed,Freelancer,Own,Urban,59831,3021,585,2,4289,993,0,12238,215,Home,11.67,Secured,No,9,11,0.69,0
780,Male,48,Married,0,High School,Unemployed,Freelancer,Own,Urban,147546,3203,716,1,3773,29463,0,39471,31,Education,6.88,Unsecured,No,0,23,0.23,1
781,Female,46,Single,2,Graduate,Self-Employed,Business,Other,Urban,148454,881,754,2,41753,25210,0,36224,99,Home,6.71,Unsecured,No,5,13,0.91,1
782,Male,45,Married,3,High School,Unemployed,Salaried,Own,Suburban,93386,2687,738,0,23035,9297,1,22604,105,Home,6.57,Secured,No,1,19,0.57,1
783,Male,48,Married,3,Graduate,Self-Employed,Business,Other,Urban,109200,2848,847,0,33162,24655,0,20658,67,Vehicle,9.16,Unsecured,No,5,21,0.76,1
784,Male,46,Divorced,0,Graduate,Self-Employed,Salaried,Own,Urban,78752,2327,793,0,23399,2608,0,21867,81,Personal,6.02,Secured,No,8,8,0.4,1
785,Male,34,Single,3,High School,Unemployed,Professional,Rent,Suburban,76841,2564,736,0,30714,28964,0,20734,179,Personal,8.66,Unsecured,No,2,19,0.45,1
786,Male,23,Married,3,Postgraduate,Unemployed,Salaried,Other,Urban,54945,1549,580,2,4535,11331,0,18054,79,Personal,7.21,Unsecured,Yes,6,14,0.01,0
787,Male,39,Married,3,High School,Self-Employed,Professional,Rent,Urban,137915,4158,741,1,9810,7405,1,37369,97,Home,10.92,Secured,Yes,9,12,0.08,1
788,Female,28,Married,2,High School,Employed,Salaried,Own,Rural,124831,531,814,0,29670,17337,1,21115,15,Education,11.06,Secured,No,2,26,0.2,1
789,Female,26,Single,3,High School,Unemployed,Freelancer,Own,Suburban,98921,2903,760,0,42611,27980,0,22873,208,Education,12.86,Unsecured,Yes,5,28,0.79,1
790,Female,68,Single,0,High School,Unemployed,Business,Own,Urban,40227,4103,392,2,22653,22552,0,13612,151,Home,11.34,Secured,Yes,2,12,0.13,0
791,Female,31,Single,2,Graduate,Employed,Professional,Rent,Suburban,100757,3254,840,1,17065,28522,0,23516,232,Home,7.35,Unsecured,Yes,3,10,0.67,1
792,Male,35,Married,0,Postgraduate,Employed,Business,Other,Urban,60811,3619,838,2,48659,5870,1,20000,219,Vehicle,12.13,Secured,No,5,15,0.38,1
793,Female,46,Single,1,Graduate,Employed,Salaried,Own,Rural,55985,2072,778,2,39563,24593,0,20000,71,Home,4.13,Secured,Yes,6,10,0.94,1
794,Male,39,Married,0,High School,Employed,Salaried,Rent,Suburban,91899,2753,836,0,39165,2098,0,26361,212,Home,10.22,Unsecured,No,3,28,0.09,1
795,Male,46,Single,0,Graduate,Employed,Salaried,Own,Rural,89278,3502,807,1,9142,21291,0,24036,171,Personal,13.8,Secured,No,0,5,0.48,1
796,Female,33,Single,0,High School,Employed,Professional,Own,Urban,49264,2914,491,0,636,18490,0,9195,40,Vehicle,7.3,Secured,No,9,21,0.69,0
797,Male,49,Single,1,Postgraduate,Employed,Business,Rent,Urban,53416,3182,302,1,1056,1643,0,15547,151,Home,5.81,Secured,No,8,21,0.58,1
798,Female,49,Married,3,High School,Employed,Business,Own,Urban,124864,3797,798,2,117,2969,0,22270,209,Vehicle,6.92,Unsecured,Yes,6,21,0.05,0
799,Female,29,Married,1,High School,Employed,Salaried,Own,Urban,76416,2667,846,2,1744,15900,0,21732,195,Home,9.49,Secured,Yes,0,29,0.82,0
800,Female,58,Divorced,2,High School,Unemployed,Salaried,Own,Urban,27281,742,427,0,26170,14621,0,6279,196,Education,7.81,Unsecured,No,3,7,0.76,0
801,Female,50,Married,3,Graduate,Unemployed,Freelancer,Own,Urban,65134,3857,375,1,34692,13403,0,15682,193,Vehicle,12.18,Secured,Yes,1,18,0.27,0
802,Female,37,Married,2,Graduate,Self-Employed,Freelancer,Own,Suburban,106708,551,785,2,25082,19364,0,31633,19,Education,9.91,Secured,Yes,3,12,0.98,1
803,Female,27,Single,2,Graduate,Unemployed,Freelancer,Rent,Urban,122337,3045,841,1,29882,13770,0,31273,56,Personal,5.26,Secured,Yes,8,8,0.73,0
804,Female,29,Single,3,Graduate,Employed,Salaried,Own,Rural,105755,1145,803,0,49538,20003,0,23373,174,Vehicle,11.44,Unsecured,No,2,5,0.28,1
805,Female,47,Married,3,Postgraduate,Employed,Salaried,Own,Suburban,89347,3443,719,1,24119,8790,0,20622,119,Personal,14.19,Unsecured,Yes,3,17,0.19,1
806,Male,63,Married,0,Graduate,Employed,Business,Rent,Urban,21655,4292,550,1,12565,16296,0,5424,180,Home,11.36,Secured,No,7,10,0.01,0
807,Female,54,Single,2,High School,Self-Employed,Professional,Own,Suburban,41678,1687,505,0,10459,16216,0,6112,54,Vehicle,10.02,Unsecured,Yes,1,14,0.61,0
808,Male,49,Divorced,2,Postgraduate,Employed,Professional,Own,Urban,42124,1126,320,0,10126,11489,0,16759,60,Education,9.5,Unsecured,Yes,2,13,0.41,0
809,Male,44,Single,0,Graduate,Self-Employed,Freelancer,Other,Suburban,77703,2568,811,0,38478,28958,0,22512,42,Home,11.38,Secured,No,1,11,0.68,1
810,Female,38,Married,3,Graduate,Employed,Salaried,Own,Suburban,91626,2063,772,2,20803,12746,0,26215,60,Home,13.83,Unsecured,No,8,25,0.34,1
811,Female,50,Single,0,Graduate,Self-Employed,Business,Own,Urban,46433,4019,389,1,10144,28074,1,16820,146,Home,9.16,Unsecured,No,2,12,0.77,1
812,Female,60,Single,0,High School,Employed,Salaried,Own,Urban,66428,4168,435,2,35639,29670,0,10599,106,Vehicle,6.27,Secured,Yes,8,18,0.31,0
813,Female,29,Single,0,Graduate,Self-Employed,Professional,Own,Urban,132345,1056,802,1,12593,8448,0,34109,73,Vehicle,14.17,Secured,No,5,11,0.98,1
814,Female,52,Married,2,Graduate,Self-Employed,Salaried,Own,Urban,20852,1172,590,1,748,17685,0,7667,39,Home,12.7,Secured,Yes,3,29,0.48,1
815,Male,59,Married,2,High School,Employed,Freelancer,Other,Urban,45377,2535,443,2,6688,10348,0,11414,101,Home,4.62,Secured,Yes,0,20,0.94,0
816,Female,46,Married,0,High School,Employed,Business,Own,Urban,115829,731,734,0,6085,666,1,21688,126,Vehicle,8.79,Secured,Yes,1,6,0.53,1
817,Female,33,Married,1,Postgraduate,Employed,Business,Own,Suburban,124746,3577,716,2,43331,9871,0,21694,193,Home,5.7,Unsecured,Yes,1,15,0.54,1
818,Male,39,Married,1,High School,Employed,Salaried,Other,Rural,106325,3367,772,2,17717,21547,0,28886,200,Home,7.53,Secured,No,5,29,0.22,1
819,Male,30,Married,0,High School,Employed,Salaried,Rent,Rural,146983,4998,706,0,13267,24970,0,36480,206,Vehicle,8.18,Secured,Yes,5,23,0.49,1
820,Male,46,Single,3,Graduate,Unemployed,Business,Own,Urban,135507,4321,848,2,32797,11020,0,23049,29,Home,14.06,Unsecured,No,9,17,0.73,1
821,Male,23,Single,3,High School,Self-Employed,Business,Own,Urban,26451,1546,449,0,27366,15780,0,5405,79,Home,11.19,Secured,Yes,8,21,0.54,0
822,Male,47,Divorced,1,High School,Employed,Freelancer,Own,Suburban,87064,4126,739,2,12279,20610,1,24695,91,Vehicle,8.12,Unsecured,No,6,17,0.58,1
823,Female,46,Married,2,Graduate,Employed,Freelancer,Rent,Urban,106187,757,800,2,7373,19121,1,24912,61,Vehicle,4.93,Unsecured,Yes,9,12,0.85,1
824,Female,32,Single,0,High School,Employed,Salaried,Rent,Suburban,62021,2029,711,2,26565,18585,0,20000,210,Personal,6.25,Unsecured,Yes,3,5,0.64,1
825,Male,26,Married,3,Postgraduate,Self-Employed,Business,Own,Urban,59249,2535,755,1,13493,18043,0,20000,37,Vehicle,10.09,Secured,Yes,0,27,0.13,1
826,Male,21,Single,3,Graduate,Employed,Professional,Own,Urban,54075,718,577,2,42305,18596,1,9997,93,Vehicle,7.75,Unsecured,Yes,6,10,0.24,0
827,Female,26,Married,1,Graduate,Unemployed,Salaried,Rent,Suburban,85400,4202,772,2,8748,9046,0,24902,97,Vehicle,8.91,Secured,Yes,5,7,0.86,1
828,Male,33,Married,2,High School,Employed,Salaried,Rent,Urban,112223,4818,832,0,28390,4193,0,21730,20,Personal,4.98,Secured,Yes,7,21,0.28,0
829,Male,47,Married,0,Graduate,Employed,Salaried,Own,Suburban,43705,3781,425,2,47984,4179,0,13680,171,Personal,14.8,Unsecured,No,3,25,0.75,0
830,Male,29,Married,2,Graduate,Self-Employed,Freelancer,Own,Suburban,113194,2087,726,0,10847,16109,1,30633,73,Home,12.79,Unsecured,No,3,17,0.38,0
831,Male,43,Married,3,High School,Employed,Professional,Own,Urban,68324,3105,814,0,11678,11838,0,20434,157,Home,12.53,Secured,Yes,7,26,0.32,1
832,Female,43,Married,2,Postgraduate,Employed,Salaried,Rent,Rural,67913,811,824,1,45904,9463,0,20083,57,Home,6.52,Unsecured,No,3,22,0.13,0
833,Male,33,Married,1,Graduate,Employed,Freelancer,Own,Suburban,141810,2615,765,2,12795,15910,0,40117,36,Home,14.76,Unsecured,No,8,13,0.58,1
834,Male,29,Single,2,High School,Unemployed,Salaried,Own,Urban,92913,3853,846,0,4677,15837,1,23974,89,Education,9.28,Unsecured,No,8,9,0.47,1
835,Male,40,Divorced,2,Graduate,Employed,Professional,Own,Urban,101724,3046,721,2,1457,7882,0,20322,51,Vehicle,6.4,Unsecured,Yes,1,16,0.24,1
836,Male,31,Single,1,Graduate,Self-Employed,Professional,Other,Urban,109585,1885,806,1,18948,21710,0,26593,41,Education,13.47,Unsecured,No,3,11,0.94,1
837,Male,19,Single,3,High School,Employed,Business,Own,Suburban,44992,1098,599,2,33529,21883,0,9150,52,Home,8.58,Secured,No,6,28,0.46,0
838,Female,38,Married,1,Graduate,Self-Employed,Freelancer,Own,Urban,105332,1950,740,1,10862,22751,1,30623,64,Personal,12.55,Secured,Yes,4,28,0.66,1
839,Female,46,Single,1,High School,Unemployed,Freelancer,Rent,Suburban,145903,4099,782,2,39780,23006,1,28617,86,Home,11.31,Secured,Yes,7,19,0.07,0
840,Female,25,Married,0,Graduate,Employed,Business,Rent,Urban,98645,1869,736,2,42995,13354,0,26386,94,Personal,7.98,Secured,Yes,9,29,0.1,1
841,Female,32,Single,3,High School,Employed,Business,Own,Urban,56093,3134,755,2,8880,22156,0,20000,124,Home,10.31,Secured,No,5,19,0.1,1
842,Female,41,Single,0,Graduate,Self-Employed,Business,Rent,Rural,56426,1194,707,1,12344,19591,0,20000,110,Personal,6.89,Secured,No,3,18,0.94,1
843,Male,43,Married,1,Graduate,Employed,Business,Own,Suburban,124498,2208,807,1,41825,14986,0,32115,227,Education,8.37,Secured,Yes,5,25,0.91,1
844,Male,23,Divorced,2,Postgraduate,Unemployed,Freelancer,Rent,Rural,27782,666,307,0,11501,2809,0,11110,209,Personal,12.98,Unsecured,Yes,1,14,0.14,1
845,Female,38,Married,2,Graduate,Self-Employed,Salaried,Own,Urban,140449,4931,820,2,40906,19332,0,30070,206,Home,14.11,Secured,No,3,8,0.31,1
846,Female,32,Married,3,Postgraduate,Employed,Salaried,Other,Urban,53396,1400,736,2,32902,22556,0,20000,44,Personal,6.1,Secured,No,0,28,0.56,1
847,Male,35,Single,0,High School,Self-Employed,Professional,Own,Urban,55831,3919,776,2,34107,8255,0,20000,27,Home,6.59,Secured,Yes,5,11,0.83,1
848,Female,63,Single,0,High School,Unemployed,Professional,Own,Urban,49386,929,457,2,11577,28976,0,9436,125,Vehicle,4.87,Unsecured,No,5,11,0.56,0
849,Female,34,Married,2,High School,Employed,Salaried,Rent,Suburban,137366,4915,822,0,35271,12935,0,34080,163,Personal,11.38,Secured,No,0,18,0.13,1
850,Female,41,Married,3,Postgraduate,Employed,Freelancer,Rent,Urban,111775,872,768,2,32414,3326,0,20659,33,Personal,5.58,Unsecured,No,2,18,0.9,1
851,Female,36,Single,1,Postgraduate,Unemployed,Salaried,Own,Suburban,95606,1398,761,0,14875,23828,0,23375,112,Personal,14.18,Unsecured,No,0,21,0.82,1
852,Male,43,Single,1,High School,Unemployed,Salaried,Own,Urban,21460,3459,518,2,12677,4707,0,5249,209,Education,8.43,Secured,No,1,23,0.8,1
853,Female,28,Married,3,Graduate,Unemployed,Salaried,Own,Urban,101164,4612,744,0,45493,21610,1,29760,56,Personal,11.41,Secured,Yes,9,23,0.32,1
854,Female,68,Married,2,High School,Self-Employed,Business,Own,Urban,21724,4702,573,1,26945,24819,0,5212,118,Vehicle,3.62,Unsecured,Yes,8,16,0.14,0
855,Female,41,Married,1,Graduate,Employed,Business,Own,Suburban,59909,3913,705,0,44802,1549,1,20000,118,Home,4.6,Unsecured,Yes,0,27,0.09,1
856,Female,29,Single,1,High School,Employed,Salaried,Own,Urban,58524,943,822,1,21495,12121,0,20000,187,Home,14.2,Unsecured,Yes,8,20,0.98,1
857,Male,48,Single,2,High School,Employed,Business,Own,Urban,122044,3337,767,2,14512,26588,0,33658,127,Personal,9.9,Unsecured,No,1,19,0.33,0
858,Male,38,Single,1,Graduate,Self-Employed,Salaried,Own,Urban,106545,3142,796,1,49460,16359,1,27512,28,Home,12.94,Secured,No,5,25,0.92,1
859,Male,31,Single,0,Graduate,Unemployed,Business,Own,Urban,143846,2707,819,1,21108,992,0,22316,164,Personal,8.92,Secured,Yes,1,9,0.67,1
860,Male,27,Married,3,Graduate,Employed,Salaried,Rent,Suburban,97112,2035,779,0,46016,24807,0,26326,51,Education,3.87,Unsecured,No,3,16,0.0,1
861,Female,22,Married,1,High School,Employed,Professional,Other,Urban,32622,2518,498,0,32095,7391,0,6070,208,Education,4.9,Secured,Yes,1,9,0.64,0
862,Male,29,Married,1,Postgraduate,Employed,Business,Rent,Suburban,62468,1001,800,2,25557,5673,0,20000,236,Education,3.96,Secured,Yes,8,24,0.36,1
863,Female,32,Married,0,High School,Employed,Freelancer,Own,Rural,88655,3255,823,0,25315,26968,0,22050,191,Education,4.81,Unsecured,No,1,28,0.02,1
864,Male,46,Divorced,1,Graduate,Employed,Professional,Own,Urban,111352,4307,747,1,13193,4713,0,25379,131,Vehicle,9.72,Secured,No,2,21,0.57,1
865,Male,27,Single,3,Postgraduate,Unemployed,Freelancer,Own,Suburban,88031,4709,759,2,6116,26073,0,24632,191,Personal,8.81,Unsecured,Yes,8,18,0.03,0
866,Female,47,Single,0,Graduate,Self-Employed,Freelancer,Rent,Urban,64597,963,829,2,3579,5919,0,20000,178,Personal,10.83,Unsecured,Yes,4,18,0.76,0
867,Female,25,Single,3,High School,Unemployed,Freelancer,Own,Rural,78586,4415,829,2,38073,3751,0,22543,70,Home,9.57,Unsecured,No,3,26,0.55,1
868,Male,26,Married,3,Postgraduate,Employed,Salaried,Rent,Suburban,74185,3161,824,0,4263,16336,0,20110,125,Home,10.42,Secured,Yes,6,16,0.19,1
869,Male,24,Married,2,High School,Unemployed,Business,Rent,Urban,46944,1381,349,1,45185,9089,1,7923,199,Home,6.65,Unsecured,No,5,14,1.0,0
870,Female,32,Single,2,Graduate,Unemployed,Business,Rent,Suburban,36866,3225,446,2,9806,8867,0,12723,182,Personal,8.64,Secured,Yes,4,27,0.22,0
871,Female,38,Single,0,Postgraduate,Unemployed,Business,Own,Urban,95367,4301,824,0,21350,450,0,21574,168,Education,9.44,Secured,Yes,2,18,0.9,1
872,Female,37,Married,1,High School,Employed,Professional,Rent,Urban,54488,3082,827,1,15336,12142,1,20000,130,Personal,9.18,Secured,No,0,19,0.95,0
873,Female,36,Married,1,Postgraduate,Unemployed,Salaried,Rent,Urban,66415,3552,790,2,21713,13763,0,20000,174,Vehicle,12.16,Secured,Yes,3,16,0.47,1
874,Female,42,Single,2,Graduate,Employed,Salaried,Own,Urban,131829,2235,846,1,11919,2220,0,28273,136,Vehicle,14.94,Secured,Yes,8,8,0.02,0
875,Female,26,Married,3,High School,Self-Employed,Business,Own,Suburban,61279,2735,709,0,22903,8380,0,20000,167,Home,11.84,Unsecured,Yes,7,14,0.39,1
876,Female,31,Single,1,High School,Employed,Salaried,Own,Rural,110250,2170,825,0,8423,29566,0,22016,32,Education,10.64,Unsecured,Yes,7,10,0.98,1
877,Female,27,Married,0,Graduate,Unemployed,Salaried,Own,Suburban,39802,1774,557,2,12474,21860,1,9513,18,Personal,7.92,Unsecured,Yes,6,16,0.63,0
878,Male,44,Single,0,Postgraduate,Employed,Professional,Own,Urban,136652,3466,806,0,27964,22596,1,24630,75,Vehicle,11.48,Unsecured,No,0,28,0.85,0
879,Female,49,Married,1,High School,Employed,Freelancer,Other,Rural,50156,1966,707,1,5478,4882,0,20000,120,Home,8.23,Secured,No,9,7,0.88,1
880,Female,47,Single,2,Graduate,Employed,Salaried,Rent,Urban,89664,2560,749,0,14449,22352,0,23375,77,Home,11.26,Secured,Yes,8,10,0.03,1
881,Male,34,Married,2,High School,Self-Employed,Professional,Own,Urban,120248,1961,844,2,10842,3524,0,27982,171,Personal,7.48,Unsecured,Yes,0,19,0.1,1
882,Female,30,Married,3,High School,Unemployed,Business,Other,Suburban,130673,1581,818,1,43150,10828,0,32547,65,Home,9.03,Unsecured,No,9,23,0.22,1
883,Female,28,Divorced,1,Graduate,Employed,Freelancer,Own,Urban,54504,3409,751,1,44633,19766,0,20000,59,Home,14.25,Unsecured,Yes,3,24,0.66,1
884,Female,32,Married,0,Graduate,Self-Employed,Salaried,Own,Suburban,75113,3063,797,2,28387,12892,0,20289,109,Home,8.79,Secured,Yes,6,24,0.61,1
885,Male,30,Married,1,Postgraduate,Employed,Salaried,Own,Urban,40021,1332,535,1,18033,27273,0,11503,78,Personal,4.19,Secured,No,8,9,0.99,0
886,Female,29,Single,0,Graduate,Employed,Professional,Rent,Urban,127382,2435,705,0,32578,19183,0,32153,235,Personal,4.29,Unsecured,Yes,7,8,0.91,0
887,Male,32,Divorced,2,Postgraduate,Self-Employed,Professional,Other,Suburban,147157,674,702,1,13240,2643,0,36351,65,Home,6.47,Secured,Yes,9,14,0.99,0
888,Female,32,Single,0,Postgraduate,Employed,Salaried,Rent,Suburban,57491,2965,764,1,11278,12027,0,20000,129,Home,5.94,Unsecured,Yes,5,19,0.49,1
889,Male,33,Married,0,Postgraduate,Employed,Business,Rent,Urban,125598,1377,744,2,5542,12843,0,23933,27,Home,11.82,Unsecured,Yes,9,9,0.21,1
890,Male,38,Married,3,High School,Self-Employed,Freelancer,Own,Suburban,106458,2175,732,2,18282,11967,1,21813,27,Education,4.2,Unsecured,Yes,4,19,0.86,1
891,Female,28,Single,2,High School,Employed,Business,Rent,Suburban,22141,1914,455,0,11214,26023,1,8278,65,Home,10.44,Secured,Yes,6,27,0.39,1
892,Male,42,Single,0,Postgraduate,Self-Employed,Salaried,Rent,Suburban,64049,4001,407,2,12093,1075,0,17319,117,Personal,7.23,Secured,Yes,7,15,0.96,1
893,Male,40,Married,2,Graduate,Self-Employed,Professional,Rent,Suburban,54083,4622,539,0,41662,12760,0,10853,229,Home,14.6,Unsecured,Yes,1,24,0.95,0
894,Male,34,Single,3,High School,Self-Employed,Salaried,Own,Rural,93506,1327,799,2,37254,4038,0,24317,228,Vehicle,11.65,Unsecured,Yes,1,19,0.55,0
895,Male,31,Married,0,High School,Employed,Professional,Own,Rural,78188,1032,737,2,44210,15422,0,20765,182,Vehicle,4.64,Secured,Yes,7,11,0.59,1
896,Male,37,Married,0,Graduate,Self-Employed,Professional,Own,Suburban,106852,1924,712,0,3641,25488,1,25855,39,Home,8.58,Unsecured,Yes,3,8,0.61,1
897,Female,46,Divorced,3,Postgraduate,Employed,Business,Rent,Rural,141962,2305,818,1,10215,11725,1,21285,58,Vehicle,6.68,Unsecured,No,7,10,0.29,1
898,Female,58,Single,3,High School,Employed,Freelancer,Own,Urban,65869,2012,371,1,40570,11211,0,5891,181,Home,4.75,Unsecured,Yes,6,29,0.73,0
899,Female,32,Married,2,High School,Employed,Freelancer,Rent,Urban,73442,631,763,1,43225,20907,0,22028,202,Personal,13.76,Unsecured,No,1,8,0.15,1
900,Male,41,Married,2,Graduate,Self-Employed,Salaried,Other,Urban,102751,1073,764,1,30628,27026,1,28471,71,Personal,12.23,Secured,No,2,21,0.56,1
901,Female,48,Single,2,Graduate,Employed,Professional,Other,Suburban,120065,3610,807,0,29211,5375,1,26179,226,Home,10.37,Secured,No,5,24,0.04,0
902,Male,38,Divorced,1,Graduate,Self-Employed,Salaried,Rent,Urban,112784,3037,757,2,16146,4226,0,30306,223,Education,9.24,Secured,No,1,22,0.73,0
903,Male,42,Married,0,Graduate,Employed,Salaried,Own,Suburban,88513,2557,797,2,12534,12975,1,26105,78,Vehicle,12.39,Unsecured,No,0,18,0.04,1
904,Male,33,Married,0,Graduate,Employed,Business,Rent,Urban,70565,2911,747,2,4772,12434,0,20351,36,Home,6.46,Unsecured,No,4,16,0.75,1
905,Male,46,Married,1,Postgraduate,Self-Employed,Salaried,Other,Urban,90956,1572,770,1,33129,24617,0,22486,146,Vehicle,4.12,Secured,No,1,12,0.22,1
906,Male,64,Single,1,Graduate,Employed,Professional,Rent,Suburban,57832,1409,478,2,38749,9422,0,13276,163,Home,5.31,Unsecured,No,7,13,0.62,1
907,Male,65,Married,1,Graduate,Employed,Freelancer,Rent,Urban,44908,2681,563,1,28606,11947,0,14758,208,Personal,14.54,Secured,Yes,8,15,0.94,0
908,Female,44,Married,3,Graduate,Employed,Business,Own,Suburban,144943,4731,750,0,10472,11523,0,29334,36,Home,11.3,Secured,No,2,19,0.89,1
909,Male,33,Single,3,High School,Employed,Freelancer,Own,Suburban,105848,2582,705,1,37346,9311,0,31725,87,Personal,12.96,Unsecured,Yes,9,5,0.01,0
910,Female,34,Married,2,Postgraduate,Employed,Salaried,Own,Rural,116104,3539,754,1,34344,28942,0,23623,105,Education,11.56,Secured,Yes,7,7,0.7,1
911,Female,38,Married,3,High School,Unemployed,Freelancer,Own,Urban,87526,1368,812,2,15590,21654,0,20587,160,Vehicle,12.14,Secured,Yes,1,7,0.2,1
912,Male,36,Married,3,Postgraduate,Self-Employed,Professional,Own,Suburban,143347,3487,720,1,42055,7512,0,33143,179,Vehicle,8.92,Unsecured,Yes,4,8,0.24,1
913,Male,32,Married,1,High School,Self-Employed,Business,Rent,Urban,114017,798,732,1,42421,9383,1,31959,144,Home,9.33,Unsecured,No,9,17,0.8,1
914,Male,41,Married,0,High School,Employed,Professional,Own,Urban,74819,4326,749,2,33924,29563,0,20350,221,Vehicle,12.84,Secured,No,4,17,0.74,1
915,Female,41,Single,2,Graduate,Unemployed,Freelancer,Rent,Urban,113732,4193,839,1,38651,204,0,31394,200,Home,6.86,Unsecured,Yes,5,13,0.85,1
916,Male,43,Married,2,Graduate,Unemployed,Professional,Other,Urban,66371,1638,822,1,23290,19554,0,20000,130,Education,12.09,Unsecured,No,2,10,0.23,1
917,Male,48,Single,2,High School,Employed,Salaried,Own,Urban,132786,4407,785,2,8738,13340,1,35663,90,Home,11.05,Secured,Yes,5,24,0.58,1
918,Female,41,Single,0,Postgraduate,Employed,Business,Own,Rural,40995,1359,524,2,13506,18407,0,16053,129,Vehicle,8.54,Secured,Yes,1,27,0.77,0
919,Female,67,Single,3,High School,Self-Employed,Business,Own,Suburban,25949,4745,566,1,11616,11060,0,5550,22,Vehicle,14.99,Secured,No,5,21,0.7,0
920,Male,37,Married,2,Postgraduate,Employed,Freelancer,Rent,Rural,101555,4483,811,1,37783,9357,0,23122,227,Home,4.08,Secured,Yes,3,28,0.85,0
921,Male,66,Single,3,Graduate,Self-Employed,Freelancer,Rent,Suburban,53692,3946,571,1,41420,413,0,13749,169,Vehicle,8.16,Unsecured,Yes,7,20,0.12,0
922,Female,28,Single,0,High School,Self-Employed,Business,Other,Urban,75973,3220,827,2,22594,1452,0,20958,94,Personal,9.6,Unsecured,No,1,10,0.16,1
923,Male,35,Single,3,High School,Unemployed,Freelancer,Own,Suburban,22531,649,368,2,45909,19799,1,5916,137,Home,11.59,Secured,Yes,5,23,0.24,0
924,Female,47,Single,1,Postgraduate,Self-Employed,Business,Own,Urban,69462,2324,347,1,26103,22622,0,25653,206,Personal,11.0,Unsecured,No,1,15,0.93,0
925,Male,47,Married,0,High School,Employed,Professional,Rent,Urban,102728,1300,727,0,48981,28983,0,30606,170,Education,11.73,Secured,Yes,1,9,0.57,1
926,Female,34,Single,0,Postgraduate,Employed,Professional,Own,Suburban,109474,1343,841,1,9924,10873,0,31792,69,Home,10.44,Secured,Yes,6,26,0.03,1
927,Male,34,Single,1,Graduate,Self-Employed,Salaried,Own,Suburban,122652,3693,801,2,13469,20406,0,23599,229,Personal,7.27,Unsecured,Yes,7,26,0.54,1
928,Female,29,Married,2,High School,Employed,Salaried,Own,Suburban,65379,948,710,2,34313,989,1,20000,196,Home,10.75,Unsecured,Yes,1,17,0.04,1
929,Male,25,Married,1,High School,Self-Employed,Professional,Own,Urban,103137,1907,714,0,13387,18366,0,29729,93,Education,5.48,Secured,No,3,7,0.89,1
930,Female,38,Divorced,0,Postgraduate,Employed,Professional,Rent,Urban,144261,803,703,1,34930,22850,0,26249,108,Home,9.83,Unsecured,No,3,27,0.38,1
931,Female,34,Married,2,High School,Self-Employed,Business,Own,Urban,145862,910,828,1,3750,15849,0,27580,101,Vehicle,4.23,Secured,No,1,8,0.46,0
932,Male,22,Married,3,Graduate,Unemployed,Professional,Rent,Urban,50251,4919,502,0,31024,10281,1,10899,69,Vehicle,9.54,Secured,No,6,21,0.42,0
933,Female,39,Single,0,Graduate,Self-Employed,Salaried,Own,Urban,47059,1289,565,2,26836,9165,1,7550,131,Vehicle,3.97,Unsecured,No,1,24,0.74,0
934,Male,33,Married,0,High School,Unemployed,Business,Rent,Suburban,67146,1474,765,2,45133,23892,0,20119,164,Personal,10.55,Secured,No,1,29,0.5,1
935,Female,41,Married,2,Postgraduate,Self-Employed,Business,Own,Urban,117707,3900,820,1,20160,731,0,22111,77,Education,13.49,Unsecured,No,6,8,0.43,1
936,Female,43,Married,0,Graduate,Employed,Salaried,Own,Urban,74973,594,812,0,43403,21066,1,20533,87,Education,8.87,Secured,No,2,7,0.89,1
